Time,HR,PTT,DBP,SBP
0.0,,,,
0.008,,,,
0.016,,,,
0.024,,,,
0.032,,,,
0.04,,,,
0.048,,,,
0.056,,,,
0.064,,,,
0.072,,,,
0.08,,,,
0.088,,,,
0.096,,,,
0.104,,,,
0.112,,,,
0.12,,,,
0.128,,,,
0.136,,,,
0.144,,,,
0.152,,,,
0.16,,0.616,,
0.168,,,,
0.176,,,,
0.184,,,,
0.192,,,,
0.2,,,,
0.208,,,,
0.216,,,,
0.224,,,,
0.232,,,,
0.24,,,,
0.248,,,,
0.256,,,,
0.264,,,,
0.272,,,,
0.28,,,,
0.288,,,,
0.296,,,,
0.304,,,,
0.312,,,,
0.32,,,,
0.328,,,,
0.336,,,,
0.344,,,,
0.352,,,,
0.36,,,,
0.368,,,,
0.376,,,,
0.384,,,,
0.392,,,,
0.4,,,62.814,
0.408,,,,
0.416,,,,
0.424,,,,
0.432,,,,
0.44,,,,
0.448,,,,
0.456,,,,
0.464,,,,
0.472,,,,
0.48,,,,
0.488,,,,
0.496,,,,
0.504,,,,
0.512,,,,
0.52,,,,
0.528,,,,109.994
0.536,,,,
0.544,,,,
0.552,,,,
0.56,,,,
0.568,,,,
0.576,,,,
0.584,,,,
0.592,,,,
0.6,,,,
0.608,,,,
0.616,,,,
0.624,,,,
0.632,,,,
0.64,,,,
0.648,,,,
0.656,,,,
0.664,,,,
0.672,,,,
0.68,,,,
0.688,,,,
0.696,,,,
0.704,,,,
0.712,,,,
0.72,,,,
0.728,,,,
0.736,,,,
0.744,,,,
0.752,,,,
0.76,,,,
0.768,,,,
0.776,,,,
0.784,,,,
0.792,,,,
0.8,,,,
0.808,92.5925925925926,0.6079999999999999,,
0.816,,,,
0.824,,,,
0.832,,,,
0.84,,,,
0.848,,,,
0.856,,,,
0.864,,,,
0.872,,,,
0.88,,,,
0.888,,,,
0.896,,,,
0.904,,,,
0.912,,,,
0.92,,,,
0.928,,,,
0.936,,,,
0.944,,,,
0.952,,,,
0.96,,,,
0.968,,,,
0.976,,,,
0.984,,,,
0.992,,,,
1.0,,,,
1.008,,,,
1.016,,,,
1.024,,,,
1.032,,,,
1.04,,,,
1.048,,,64.136,
1.056,,,,
1.064,,,,
1.072,,,,
1.08,,,,
1.088,,,,
1.096,,,,
1.104,,,,
1.112,,,,
1.12,,,,
1.128,,,,
1.136,,,,
1.144,,,,
1.152,,,,
1.16,,,,
1.168,,,,110.687
1.176,,,,
1.184,,,,
1.192,,,,
1.2,,,,
1.208,,,,
1.216,,,,
1.224,,,,
1.232,,,,
1.24,,,,
1.248,,,,
1.256,,,,
1.264,,,,
1.272,,,,
1.28,,,,
1.288,,,,
1.296,,,,
1.304,,,,
1.312,,,,
1.32,,,,
1.328,,,,
1.336,,,,
1.344,,,,
1.352,,,,
1.36,,,,
1.368,,,,
1.376,,,,
1.384,,,,
1.392,,,,
1.4,,,,
1.408,,,,
1.416,,,,
1.424,,,,
1.432,,,,
1.44,,,,
1.448,,,,
1.456,92.59259259259261,0.6240000000000001,,
1.464,,,,
1.472,,,,
1.48,,,,
1.488,,,,
1.496,,,,
1.504,,,,
1.512,,,,
1.52,,,,
1.528,,,,
1.536,,,,
1.544,,,,
1.552,,,,
1.56,,,,
1.568,,,,
1.576,,,,
1.584,,,,
1.592,,,,
1.6,,,,
1.608,,,,
1.616,,,,
1.624,,,,
1.632,,,,
1.64,,,,
1.648,,,,
1.656,,,,
1.664,,,,
1.672,,,,
1.68,,,,
1.688,,,,
1.696,,,,
1.704,,,62.186,
1.712,,,,
1.72,,,,
1.728,,,,
1.736,,,,
1.744,,,,
1.752,,,,
1.76,,,,
1.768,,,,
1.776,,,,
1.784,,,,
1.792,,,,
1.8,,,,
1.808,,,,
1.816,,,,
1.824,,,,106.721
1.832,,,,
1.84,,,,
1.848,,,,
1.856,,,,
1.864,,,,
1.872,,,,
1.88,,,,
1.888,,,,
1.896,,,,
1.904,,,,
1.912,,,,
1.92,,,,
1.928,,,,
1.936,,,,
1.944,,,,
1.952,,,,
1.96,,,,
1.968,,,,
1.976,,,,
1.984,,,,
1.992,,,,
2.0,,,,
2.008,,,,
2.016,,,,
2.024,,,,
2.032,,,,
2.04,,,,
2.048,,,,
2.056,,,,
2.064,,,,
2.072,,,,
2.08,,,,
2.088,,,,
2.096,,,,
2.104,92.59259259259257,0.6240000000000001,,
2.112,,,,
2.12,,,,
2.128,,,,
2.136,,,,
2.144,,,,
2.152,,,,
2.16,,,,
2.168,,,,
2.176,,,,
2.184,,,,
2.192,,,,
2.2,,,,
2.208,,,,
2.216,,,,
2.224,,,,
2.232,,,,
2.24,,,,
2.248,,,,
2.256,,,,
2.264,,,,
2.272,,,,
2.28,,,,
2.288,,,,
2.296,,,,
2.304,,,,
2.312,,,,
2.32,,,,
2.328,,,,
2.336,,,,
2.344,,,,
2.352,,,,
2.36,,,61.348,
2.368,,,,
2.376,,,,
2.384,,,,
2.392,,,,
2.4,,,,
2.408,,,,
2.416,,,,
2.424,,,,
2.432,,,,
2.44,,,,
2.448,,,,
2.456,,,,
2.464,,,,
2.472,,,,
2.48,,,,101.499
